 INFO  Accepting connections at http://localhost:3000
 HTTP  4/16/2026 5:15:45 AM ::1 GET /
 HTTP  4/16/2026 5:15:45 AM ::1 Returned 200 in 20 ms
 HTTP  4/16/2026 5:15:45 AM ::1 GET /build/app.js
 HTTP  4/16/2026 5:15:45 AM ::1 Returned 200 in 6 ms
 HTTP  4/16/2026 5:15:45 AM ::1 GET /build/docs.json
 HTTP  4/16/2026 5:15:45 AM ::1 Returned 200 in 4 ms
 HTTP  4/16/2026 5:17:11 AM ::1 GET /
 HTTP  4/16/2026 5:17:11 AM ::1 Returned 200 in 2 ms
 HTTP  4/16/2026 5:17:11 AM ::1 GET /build/app.js
 HTTP  4/16/2026 5:17:11 AM ::1 Returned 200 in 2 ms
 HTTP  4/16/2026 5:17:11 AM ::1 GET /build/docs.json
 HTTP  4/16/2026 5:17:11 AM ::1 Returned 200 in 2 ms
